N,alpha,n_iter,p_pos,source,v,x_id
1000,0.6,6.0,0.5,SE,0.6522881176473857,x
1000,0.6,9.0,0.5,EP,0.6560811017935062,x
1000,0.6,,0.5,mse,0.6230876009954729,x
1000,0.62,6.0,0.5,SE,0.6415444086188693,x
1000,0.62,9.0,0.5,EP,0.6398688148975866,x
1000,0.62,,0.5,mse,0.6731864487740884,x
1000,0.64,6.0,0.5,SE,0.6308810018196832,x
1000,0.64,9.0,0.5,EP,0.6347516856796672,x
1000,0.64,,0.5,mse,0.6160119566431818,x
1000,0.66,6.0,0.5,SE,0.6199730048745042,x
1000,0.66,9.0,0.5,EP,0.6309675763660406,x
1000,0.66,,0.5,mse,0.6580763274017573,x
1000,0.68,6.0,0.5,SE,0.6092893017174387,x
1000,0.68,9.0,0.5,EP,0.6035872447884267,x
1000,0.68,,0.5,mse,0.6286660536307422,x
1000,0.7000000000000001,7.0,0.5,SE,0.5986582164870654,x
1000,0.7000000000000001,10.0,0.5,EP,0.6033036801921926,x
1000,0.7000000000000001,,0.5,mse,0.609739439014626,x
1000,0.72,7.0,0.5,SE,0.5880003643333415,x
1000,0.72,10.0,0.5,EP,0.5919065232393217,x
1000,0.72,,0.5,mse,0.5884553070084814,x
1000,0.74,7.0,0.5,SE,0.5774203674905591,x
1000,0.74,11.0,0.5,EP,0.5702669285479504,x
1000,0.74,,0.5,mse,0.5252165114048086,x
1000,0.76,7.0,0.5,SE,0.5665997314483706,x
1000,0.76,10.0,0.5,EP,0.5668977212515728,x
1000,0.76,,0.5,mse,0.5528482442355858,x
1000,0.78,7.0,0.5,SE,0.5557895001486457,x
1000,0.78,10.0,0.5,EP,0.5662890719072559,x
1000,0.78,,0.5,mse,0.5658002511637691,x
1000,0.8,7.0,0.5,SE,0.5455561497696391,x
1000,0.8,11.0,0.5,EP,0.5429860190966004,x
1000,0.8,,0.5,mse,0.5130521313574757,x
1000,0.8200000000000001,8.0,0.5,SE,0.5342892517474989,x
1000,0.8200000000000001,13.0,0.5,EP,0.543993341912888,x
1000,0.8200000000000001,,0.5,mse,0.5929522904667222,x
1000,0.84,8.0,0.5,SE,0.5238377172347555,x
1000,0.84,11.0,0.5,EP,0.5248504106274401,x
1000,0.84,,0.5,mse,0.5230253075145661,x
1000,0.86,8.0,0.5,SE,0.5134000879835727,x
1000,0.86,12.0,0.5,EP,0.5095008464750377,x
1000,0.86,,0.5,mse,0.4761221366653042,x
1000,0.88,8.0,0.5,SE,0.5029213053343246,x
1000,0.88,14.0,0.5,EP,0.49903893433230145,x
1000,0.88,,0.5,mse,0.5029254026179001,x
1000,0.9,8.0,0.5,SE,0.4924301806447404,x
1000,0.9,12.0,0.5,EP,0.5006292653209137,x
1000,0.9,,0.5,mse,0.4754120564101597,x
1000,0.92,9.0,0.5,SE,0.4817045108655922,x
1000,0.92,11.0,0.5,EP,0.48420791208128733,x
1000,0.92,,0.5,mse,0.4535910820534134,x
1000,0.9400000000000001,9.0,0.5,SE,0.4711347494954478,x
1000,0.9400000000000001,13.0,0.5,EP,0.48078179762991724,x
1000,0.9400000000000001,,0.5,mse,0.4759221590619142,x
1000,0.96,9.0,0.5,SE,0.4609691567235733,x
1000,0.96,12.0,0.5,EP,0.46185793524899577,x
1000,0.96,,0.5,mse,0.4709978504905607,x
1000,0.98,9.0,0.5,SE,0.45016640019616677,x
1000,0.98,13.0,0.5,EP,0.4354638250522831,x
1000,0.98,,0.5,mse,0.4307901505551841,x
1000,1.0,10.0,0.5,SE,0.4395716540175437,x
1000,1.0,15.0,0.5,EP,0.42967889882678206,x
1000,1.0,,0.5,mse,0.4874743649526552,x
1000,1.02,10.0,0.5,SE,0.4289675816563542,x
1000,1.02,15.0,0.5,EP,0.4253238806056246,x
1000,1.02,,0.5,mse,0.4036221455250245,x
1000,1.04,10.0,0.5,SE,0.4180474532137109,x
1000,1.04,16.0,0.5,EP,0.41167851747823486,x
1000,1.04,,0.5,mse,0.4472465678488323,x
1000,1.06,11.0,0.5,SE,0.40778804450832196,x
1000,1.06,17.0,0.5,EP,0.42307094537331974,x
1000,1.06,,0.5,mse,0.4259231229916221,x
1000,1.08,11.0,0.5,SE,0.3963747569384453,x
1000,1.08,20.0,0.5,EP,0.3666728558814601,x
1000,1.08,,0.5,mse,0.3823094850500335,x
