N,alpha,n_iter,prior_mean,source,v,x_id
1000,1.86,64.0,0.01,EP,8.164245649242204e-07,x
1000,1.86,,0.01,mse,1.0184208928612937,x
1000,1.86,,0.01,phase_mse,0.00012777190599697156,x
1000,1.8800000000000001,91.0,0.01,SE,1.0384715420315236e-06,x
1000,1.8800000000000001,66.0,0.01,EP,8.811178506479275e-07,x
1000,1.8800000000000001,,0.01,mse,2.037162143526404,x
1000,1.8800000000000001,,0.01,phase_mse,0.0005124325672411476,x
1000,1.9000000000000001,89.0,0.01,SE,7.14251921510724e-07,x
1000,1.9000000000000001,68.0,0.01,EP,1.0395286918133888e-06,x
1000,1.9000000000000001,,0.01,mse,1.0631634095860427,x
1000,1.9000000000000001,,0.01,phase_mse,0.0001349311381604833,x
1000,1.92,86.0,0.01,SE,9.629403054131123e-07,x
1000,1.92,66.0,0.01,EP,7.620745139660709e-07,x
1000,1.92,,0.01,mse,1.0587369819006007,x
1000,1.92,,0.01,phase_mse,0.00013413812786642495,x
1000,1.94,84.0,0.01,SE,8.010766782501307e-07,x
1000,1.94,102.0,0.01,EP,5.1712464059676846e-06,x
1000,1.94,,0.01,mse,0.000363803671798974,x
1000,1.94,,0.01,phase_mse,0.000363803671798974,x
1000,1.96,82.0,0.01,SE,7.888091699739282e-07,x
1000,1.96,60.0,0.01,EP,7.481465569646722e-07,x
1000,1.96,,0.01,mse,0.9861117744735566,x
1000,1.96,,0.01,phase_mse,0.0001200549736162001,x
1000,1.98,80.0,0.01,SE,7.815574560662319e-07,x
1000,1.98,52.0,0.01,EP,7.71605003500266e-07,x
1000,1.98,,0.01,mse,2.3136129201119296e-07,x
1000,1.98,,0.01,phase_mse,2.313612920111657e-07,x
1000,2.0,78.0,0.01,SE,8.777788100145097e-07,x
1000,2.0,57.0,0.01,EP,6.011748710348455e-07,x
1000,2.0,,0.01,mse,2.239919779846938e-07,x
1000,2.0,,0.01,phase_mse,2.2399197798468626e-07,x
1000,2.02,77.0,0.01,SE,6.09993958337151e-07,x
1000,2.02,56.0,0.01,EP,7.277374482674827e-07,x
1000,2.02,,0.01,mse,1.903961567722695,x
1000,2.02,,0.01,phase_mse,0.0004782458153510776,x
1000,2.04,75.0,0.01,SE,7.470277566918099e-07,x
1000,2.04,71.0,0.01,EP,1.2764581252663974e-06,x
1000,2.04,,0.01,mse,1.013609843336411,x
1000,2.04,,0.01,phase_mse,0.0001612566673930099,x
1000,2.06,74.0,0.01,SE,5.739232088633008e-07,x
1000,2.06,101.0,0.01,EP,2.523866548266615e-06,x
1000,2.06,,0.01,mse,0.3341718984543483,x
1000,2.06,,0.01,phase_mse,0.00030334440587892274,x
1000,2.08,72.0,0.01,SE,7.787114925187974e-07,x
1000,2.08,46.0,0.01,EP,6.763017244792697e-07,x
1000,2.08,,0.01,mse,0.9654626982976379,x
1000,2.08,,0.01,phase_mse,0.00012241568721688508,x
1000,2.1,71.0,0.01,SE,6.783775637861777e-07,x
1000,2.1,91.0,0.01,EP,2.09375246004374e-06,x
1000,2.1,,0.01,mse,0.792529916541033,x
1000,2.1,,0.01,phase_mse,0.00017944950774228738,x
1000,2.12,70.0,0.01,SE,5.650022309551004e-07,x
1000,2.12,53.0,0.01,EP,8.361840981922455e-07,x
1000,2.12,,0.01,mse,1.013824669059212,x
1000,2.12,,0.01,phase_mse,0.0001332804254136077,x
1000,2.14,69.0,0.01,SE,5.081932153391011e-07,x
1000,2.14,79.0,0.01,EP,7.833629326488444e-07,x
1000,2.14,,0.01,mse,0.9722416987505849,x
1000,2.14,,0.01,phase_mse,0.00012120476745100208,x
1000,2.16,68.0,0.01,SE,4.586589160508286e-07,x
1000,2.16,42.0,0.01,EP,6.092378657671802e-07,x
1000,2.16,,0.01,mse,1.0174143981215849,x
1000,2.16,,0.01,phase_mse,0.0001295793428300168,x
1000,2.18,67.0,0.01,SE,4.3432850604186014e-07,x
1000,2.18,60.0,0.01,EP,2.0718800233201074e-06,x
1000,2.18,,0.01,mse,1.04163792110749,x
1000,2.18,,0.01,phase_mse,0.00025794886750454463,x
1000,2.2,66.0,0.01,SE,4.42810441295503e-07,x
1000,2.2,48.0,0.01,EP,4.374899627474596e-07,x
1000,2.2,,0.01,mse,1.5433281576593497e-07,x
1000,2.2,,0.01,phase_mse,1.5433281576592353e-07,x
1000,2.22,65.0,0.01,SE,4.4378948825853174e-07,x
1000,2.22,64.0,0.01,EP,1.6376936565925632e-06,x
1000,2.22,,0.01,mse,1.8757198158753663,x
1000,2.22,,0.01,phase_mse,0.0003171730707572328,x
1000,2.24,64.0,0.01,SE,4.529416629822982e-07,x
1000,2.24,51.0,0.01,EP,4.098026162036644e-07,x
1000,2.24,,0.01,mse,2.11459572351872,x
1000,2.24,,0.01,phase_mse,0.0005306273471624149,x
1000,2.2600000000000002,63.0,0.01,SE,4.796195592362615e-07,x
1000,2.2600000000000002,42.0,0.01,EP,4.120853964883951e-07,x
1000,2.2600000000000002,,0.01,mse,0.9773194872484474,x
1000,2.2600000000000002,,0.01,phase_mse,0.00012456529908030784,x
1000,2.2800000000000002,62.0,0.01,SE,5.358958301824018e-07,x
1000,2.2800000000000002,44.0,0.01,EP,5.57859067836552e-07,x
1000,2.2800000000000002,,0.01,mse,0.9099695207808829,x
1000,2.2800000000000002,,0.01,phase_mse,0.00011016533214163426,x
1000,2.3000000000000003,61.0,0.01,SE,5.818803916103047e-07,x
1000,2.3000000000000003,60.0,0.01,EP,1.2725480896887711e-06,x
1000,2.3000000000000003,,0.01,mse,0.809307896540145,x
1000,2.3000000000000003,,0.01,phase_mse,9.195808696256537e-05,x
1000,2.32,61.0,0.01,SE,3.5238366450803627e-07,x
1000,2.32,43.0,0.01,EP,4.77179232251264e-07,x
1000,2.32,,0.01,mse,1.266613013737623e-07,x
1000,2.32,,0.01,phase_mse,1.266613013737623e-07,x
1000,2.34,60.0,0.01,SE,4.173680402745726e-07,x
1000,2.34,47.0,0.01,EP,1.202388917350955e-06,x
1000,2.34,,0.01,mse,1.0332392837423148,x
1000,2.34,,0.01,phase_mse,0.00017374482879213492,x
1000,2.36,59.0,0.01,SE,5.017152877136553e-07,x
1000,2.36,58.0,0.01,EP,1.0590604180796738e-06,x
1000,2.36,,0.01,mse,1.7949373180492798,x
1000,2.36,,0.01,phase_mse,5.050044116587178e-05,x
1000,2.38,58.0,0.01,SE,5.841716018283956e-07,x
1000,2.38,62.0,0.01,EP,1.4064202243441132e-06,x
