N,alpha,f,n_iter,prior_rho,source,v,x_id
1000,0.9387755102040816,abs,7.0,0.5,SE,1.5499753757698818e-08,x
1000,0.9387755102040816,abs,7.0,0.5,EP,5.18239387647374e-08,x
1000,0.9387755102040816,abs,,0.5,mse,7.56826161519497e-08,x
1000,0.9591836734693877,abs,6.0,0.5,SE,1.240876282749107e-08,x
1000,0.9591836734693877,abs,6.0,0.5,EP,1.3847890735132901e-08,x
1000,0.9591836734693877,abs,,0.5,mse,2.0068930074226645e-08,x
1000,0.9795918367346939,abs,5.0,0.5,SE,7.143906198753222e-09,x
1000,0.9795918367346939,abs,5.0,0.5,EP,5.351332665870956e-09,x
1000,0.9795918367346939,abs,,0.5,mse,3.4198155297551397e-09,x
1000,1.0,abs,2.0,0.5,SE,7.499376019784332e-10,x
1000,1.0,abs,2.0,0.5,EP,7.572756598688289e-10,x
1000,1.0,abs,,0.5,mse,4.273072131886954e-10,x
1000,0.02040816326530612,abs,2.0,0.75,SE,0.7349990203400942,x
1000,0.02040816326530612,abs,4.0,0.75,EP,0.7349109512815725,x
1000,0.02040816326530612,abs,,0.75,mse,0.7573139100190823,x
1000,0.04081632653061224,abs,3.0,0.75,SE,0.7199923294472536,x
1000,0.04081632653061224,abs,5.0,0.75,EP,0.7229716347224862,x
1000,0.04081632653061224,abs,,0.75,mse,0.7155475364507502,x
1000,0.061224489795918366,abs,3.0,0.75,SE,0.7042234253442836,x
1000,0.061224489795918366,abs,4.0,0.75,EP,0.7014269236265155,x
1000,0.061224489795918366,abs,,0.75,mse,0.7020314604448212,x
1000,0.08163265306122448,abs,3.0,0.75,SE,0.6891891887960194,x
1000,0.08163265306122448,abs,5.0,0.75,EP,0.6823387740133963,x
1000,0.08163265306122448,abs,,0.75,mse,0.642236091219591,x
1000,0.1020408163265306,abs,3.0,0.75,SE,0.673381510637554,x
1000,0.1020408163265306,abs,5.0,0.75,EP,0.6858445627579246,x
1000,0.1020408163265306,abs,,0.75,mse,0.7465911849152965,x
1000,0.12244897959183673,abs,3.0,0.75,SE,0.6583019905327436,x
1000,0.12244897959183673,abs,5.0,0.75,EP,0.6589297809036071,x
1000,0.12244897959183673,abs,,0.75,mse,0.6668096051920688,x
1000,0.14285714285714285,abs,3.0,0.75,SE,0.6431951216626864,x
1000,0.14285714285714285,abs,6.0,0.75,EP,0.6428473749148257,x
1000,0.14285714285714285,abs,,0.75,mse,0.6448289840932809,x
1000,0.16326530612244897,abs,3.0,0.75,SE,0.627300287740216,x
1000,0.16326530612244897,abs,5.0,0.75,EP,0.6249269234740423,x
1000,0.16326530612244897,abs,,0.75,mse,0.6449934153343303,x
1000,0.18367346938775508,abs,4.0,0.75,SE,0.6121285982629275,x
1000,0.18367346938775508,abs,7.0,0.75,EP,0.6139241349494129,x
1000,0.18367346938775508,abs,,0.75,mse,0.6288220575384205,x
1000,0.2040816326530612,abs,4.0,0.75,SE,0.5961603587514098,x
1000,0.2040816326530612,abs,6.0,0.75,EP,0.5979699373182845,x
1000,0.2040816326530612,abs,,0.75,mse,0.5784672733460445,x
1000,0.22448979591836732,abs,4.0,0.75,SE,0.580914246414283,x
1000,0.22448979591836732,abs,6.0,0.75,EP,0.5820307297601529,x
1000,0.22448979591836732,abs,,0.75,mse,0.5325858429997656,x
1000,0.24489795918367346,abs,4.0,0.75,SE,0.5656289592466573,x
1000,0.24489795918367346,abs,5.0,0.75,EP,0.5536121368940065,x
1000,0.24489795918367346,abs,,0.75,mse,0.5001577864360666,x
1000,0.26530612244897955,abs,4.0,0.75,SE,0.5495354489333883,x
1000,0.26530612244897955,abs,7.0,0.75,EP,0.5586416707363936,x
1000,0.26530612244897955,abs,,0.75,mse,0.5749189682792937,x
1000,0.2857142857142857,abs,4.0,0.75,SE,0.534164855763805,x
1000,0.2857142857142857,abs,7.0,0.75,EP,0.5336117362096006,x
1000,0.2857142857142857,abs,,0.75,mse,0.5452463969960414,x
1000,0.3061224489795918,abs,4.0,0.75,SE,0.5179785466472163,x
1000,0.3061224489795918,abs,6.0,0.75,EP,0.5052913845670802,x
1000,0.3061224489795918,abs,,0.75,mse,0.5395836614926086,x
1000,0.32653061224489793,abs,4.0,0.75,SE,0.502516664290964,x
1000,0.32653061224489793,abs,6.0,0.75,EP,0.4959502186517326,x
1000,0.32653061224489793,abs,,0.75,mse,0.4951556843799927,x
1000,0.3469387755102041,abs,4.0,0.75,SE,0.4870082141581345,x
1000,0.3469387755102041,abs,7.0,0.75,EP,0.47920514577517287,x
1000,0.3469387755102041,abs,,0.75,mse,0.4143494141897385,x
1000,0.36734693877551017,abs,5.0,0.75,SE,0.47067274463482883,x
1000,0.36734693877551017,abs,7.0,0.75,EP,0.4648573338694308,x
1000,0.36734693877551017,abs,,0.75,mse,0.4022263822341904,x
1000,0.3877551020408163,abs,5.0,0.75,SE,0.4550646070463215,x
1000,0.3877551020408163,abs,6.0,0.75,EP,0.4508827952076691,x
1000,0.3877551020408163,abs,,0.75,mse,0.4403594376963679,x
1000,0.4081632653061224,abs,5.0,0.75,SE,0.4386213605388666,x
1000,0.4081632653061224,abs,7.0,0.75,EP,0.4329603939133353,x
1000,0.4081632653061224,abs,,0.75,mse,0.4411904482360275,x
1000,0.42857142857142855,abs,5.0,0.75,SE,0.4229073911149676,x
1000,0.42857142857142855,abs,7.0,0.75,EP,0.4274920818465896,x
1000,0.42857142857142855,abs,,0.75,mse,0.43896053507684885,x
1000,0.44897959183673464,abs,5.0,0.75,SE,0.407139237405856,x
1000,0.44897959183673464,abs,8.0,0.75,EP,0.4067353668345229,x
1000,0.44897959183673464,abs,,0.75,mse,0.395991441363329,x
1000,0.4693877551020408,abs,5.0,0.75,SE,0.3905222331817203,x
1000,0.4693877551020408,abs,7.0,0.75,EP,0.3850185234575158,x
1000,0.4693877551020408,abs,,0.75,mse,0.40445589438924556,x
1000,0.4897959183673469,abs,5.0,0.75,SE,0.3746366447850373,x
1000,0.4897959183673469,abs,5.0,0.75,EP,0.37832311687549813,x
1000,0.4897959183673469,abs,,0.75,mse,0.37926775289542286,x
1000,0.5102040816326531,abs,5.0,0.75,SE,0.35789107140687554,x
1000,0.5102040816326531,abs,8.0,0.75,EP,0.346705954646664,x
1000,0.5102040816326531,abs,,0.75,mse,0.3343804221456446,x
1000,0.5306122448979591,abs,6.0,0.75,SE,0.34187714833081695,x
1000,0.5306122448979591,abs,8.0,0.75,EP,0.34581804266278204,x
1000,0.5306122448979591,abs,,0.75,mse,0.33836297582054603,x
1000,0.5510204081632653,abs,6.0,0.75,SE,0.32498964968475375,x
1000,0.5510204081632653,abs,9.0,0.75,EP,0.341007997655454,x
1000,0.5510204081632653,abs,,0.75,mse,0.3143874876619442,x
1000,0.5714285714285714,abs,6.0,0.75,SE,0.3088324674164628,x
1000,0.5714285714285714,abs,9.0,0.75,EP,0.31214056349193964,x
