N,alpha,ensemble_type,n_iter,prior_rho,source,v,x_id
1000,0.14285714285714285,gaussian,6.0,0.75,EP,0.6439569212554777,x
1000,0.14285714285714285,gaussian,,0.75,mse,0.6353743406853326,x
1000,0.16326530612244897,gaussian,3.0,0.75,SE,0.6273002877367831,x
1000,0.16326530612244897,gaussian,5.0,0.75,EP,0.6233953844236474,x
1000,0.16326530612244897,gaussian,,0.75,mse,0.6081504956300244,x
1000,0.18367346938775508,gaussian,4.0,0.75,SE,0.612128598258968,x
1000,0.18367346938775508,gaussian,6.0,0.75,EP,0.613031452945355,x
1000,0.18367346938775508,gaussian,,0.75,mse,0.6440975048455774,x
1000,0.2040816326530612,gaussian,4.0,0.75,SE,0.5961603587468187,x
1000,0.2040816326530612,gaussian,5.0,0.75,EP,0.5855324978760871,x
1000,0.2040816326530612,gaussian,,0.75,mse,0.5321601369839234,x
1000,0.22448979591836732,gaussian,4.0,0.75,SE,0.5809142464090219,x
1000,0.22448979591836732,gaussian,6.0,0.75,EP,0.574737219006534,x
1000,0.22448979591836732,gaussian,,0.75,mse,0.5971793368678863,x
1000,0.24489795918367346,gaussian,4.0,0.75,SE,0.565628959240841,x
1000,0.24489795918367346,gaussian,6.0,0.75,EP,0.5809309006809485,x
1000,0.24489795918367346,gaussian,,0.75,mse,0.6168039838770383,x
1000,0.26530612244897955,gaussian,4.0,0.75,SE,0.5495354489269155,x
1000,0.26530612244897955,gaussian,6.0,0.75,EP,0.5538598612727523,x
1000,0.26530612244897955,gaussian,,0.75,mse,0.6183540312204562,x
1000,0.2857142857142857,gaussian,4.0,0.75,SE,0.5341648557565286,x
1000,0.2857142857142857,gaussian,7.0,0.75,EP,0.5322080602187585,x
1000,0.2857142857142857,gaussian,,0.75,mse,0.565005975294563,x
1000,0.3061224489795918,gaussian,4.0,0.75,SE,0.5179785466391457,x
1000,0.3061224489795918,gaussian,6.0,0.75,EP,0.5192033889213808,x
1000,0.3061224489795918,gaussian,,0.75,mse,0.5293881428945393,x
1000,0.32653061224489793,gaussian,4.0,0.75,SE,0.5025166642822062,x
1000,0.32653061224489793,gaussian,6.0,0.75,EP,0.4975749483003033,x
1000,0.32653061224489793,gaussian,,0.75,mse,0.48803485161348104,x
1000,0.3469387755102041,gaussian,4.0,0.75,SE,0.48700821414834206,x
1000,0.3469387755102041,gaussian,7.0,0.75,EP,0.48665846177393546,x
1000,0.3469387755102041,gaussian,,0.75,mse,0.4678886565413478,x
1000,0.36734693877551017,gaussian,5.0,0.75,SE,0.4706727446240546,x
1000,0.36734693877551017,gaussian,6.0,0.75,EP,0.46806510516897726,x
1000,0.36734693877551017,gaussian,,0.75,mse,0.4305705417208228,x
1000,0.3877551020408163,gaussian,5.0,0.75,SE,0.45506460703454804,x
1000,0.3877551020408163,gaussian,7.0,0.75,EP,0.4505461310666364,x
1000,0.3877551020408163,gaussian,,0.75,mse,0.4434298310813353,x
1000,0.4081632653061224,gaussian,5.0,0.75,SE,0.43862136052597095,x
1000,0.4081632653061224,gaussian,7.0,0.75,EP,0.436138775582126,x
1000,0.4081632653061224,gaussian,,0.75,mse,0.4022639876864566,x
1000,0.42857142857142855,gaussian,5.0,0.75,SE,0.4229073911008322,x
1000,0.42857142857142855,gaussian,7.0,0.75,EP,0.42677932707234906,x
